Country,id,Alcoholic Beverages,Animal Products,Animal fats,Cereals - Excluding Beer,Fruits - Excluding Wine,Meat,Milk - Excluding Butter,Oilcrops,Starchy Roots,Sugar & Sweeteners,Vegetal Products,Vegetable Oils,Recovered,Mortality,,,,,,,,,,,,,,,,,
"Korea, South", KOR,2.0481,9.3351,1.2318,20.5847,1.1279,4.6453,0.653,1.0834,0.564,5.2983,40.6649,6.6934,72,1,,,,,,,,,,,,,,,,,
Kuwait, KWT,0,9.1727,0.5806,20.4209,2.5109,4.1655,2.9753,0.4644,1.2337,6.1393,40.8418,5.762,97,1,,,,,,,,,,,,,,,,,
Kyrgyzstan, KGZ,0.7328,10.992,0.7507,22.8776,0.8937,3.0742,6.5773,0.0179,3.092,4.3968,39.0349,2.4307,92,2,,,,,,,,,,,,,,,,,
Lao People's Democratic Republic, LAO,1.1323,4.7916,0.6072,29.488,4.1516,2.9865,0.1477,1.1815,2.4614,1.5425,45.2248,1.4605,88,NA,,,,,,,,,,,,,,,,,
Latvia, LVA,3.0614,15.4174,3.8504,14.7546,1.1835,4.8919,4.9235,0.284,3.5821,4.0713,34.5905,4.7972,67,1,,,,,,,,,,,,,,,,,
Lebanon, LBN,0.3473,5.4012,0.6078,21.3268,2.0841,2.1362,2.1709,0.9899,1.4415,6.6342,44.6162,7.5547,70,1,,,,,,,,,,,,,,,,,
Lesotho, LSO,0.767,3.7037,0.0877,34.6044,0.4602,2.3011,0.9424,0.1753,2.3011,2.7175,46.3073,2.7613,60,2,,,,,,,,,,,,,,,,,
Liberia, LBR,0.7505,2.7908,0.0938,25.2814,1.6886,2.0872,0.1407,0.5394,8.0675,1.4775,47.1857,8.3724,79,5,,,,,,,,,,,,,,,,,
Lithuania, LTU,3.3192,15.4409,2.6612,15.7187,1.1698,5.7757,5.0592,0.3071,1.3306,6.1705,34.5518,3.5093,44,1,,,,,,,,,,,,,,,,,
Luxembourg, LUX,5.1574,17.4063,2.3988,11.979,2.069,7.961,5.1574,0.2999,1.2294,4.048,32.5937,3.8681,80,1,,,,,,,,,,,,,,,,,
Madagascar, MDG,0.289,3.5208,0.1839,31.2401,1.4714,1.8129,1.051,0.2102,7.9874,2.207,46.4792,1.7341,97,1,,,,,,,,,,,,,,,,,
Malawi, MWI,0.3588,4.0038,0.4344,23.3428,3.0784,2.9084,0.1322,1.3598,11.4259,1.5297,45.9868,1.322,92,3,,,,,,,,,,,,,,,,,
Malaysia, MYS,0.2063,8.7831,0.4297,21.5194,0.9969,4.0908,1.2375,0.636,0.6875,7.0299,41.2169,7.5284,83,0,,,,,,,,,,,,,,,,,
Maldives, MDV,0.3552,12.1226,0.9325,22.5577,2.1314,1.8872,3.8854,0.3552,0.8215,5.373,37.8996,0.9325,96,0,,,,,,,,,,,,,,,,,
Mali, MLI,0.6497,5.7446,0.2223,32.9116,0.8719,1.7439,3.2997,0.8548,1.4532,1.7781,44.2811,2.5645,61,3,,,,,,,,,,,,,,,,,
Malta, MLT,1.9506,14.2031,2.0373,15.8937,1.5749,5.2883,5.2016,0.578,1.127,7.5278,35.7896,2.8464,84,2,,,,,,,,,,,,,,,,,
Mauritania, MRT,0,7.3716,0.4046,26.6186,0.6334,2.1992,4.0816,0.1759,0.3343,6.3512,42.6284,6.0873,71,2,,,,,,,,,,,,,,,,,
Mauritius, MUS,0.8473,7.3381,0.4157,23.1974,0.9273,3.2294,2.462,0.5755,0.6235,4.6203,42.6539,8.4732,93,2,,,,,,,,,,,,,,,,,
Mexico, MEX,1.196,10.2729,0.9046,21.5118,1.6713,5.0445,2.5912,0.4446,0.506,6.9917,39.7117,4.4772,74,9,,,,,,,,,,,,,,,,,
Mongolia, MNG,1.5398,20.3754,2.0038,18.7724,0.3375,10.5674,6.6231,0.0633,1.2234,2.9319,29.6351,2.9319,50,NA,,,,,,,,,,,,,,,,,
Montenegro, MNE,1.4078,17.6268,1.3935,16.1184,2.3416,6.9674,8.1023,0.2729,0.7039,4.7694,32.3804,3.0599,77,1,,,,,,,,,,,,,,,,,
Morocco, MAR,0.0888,4.8669,0.6361,29.4675,2.0562,2.0858,1.0651,0.1479,1.4053,5.4142,45.1331,4.068,90,2,,,,,,,,,,,,,,,,,
Mozambique, MOZ,0.3688,2.9074,0.1736,21.957,0.8679,1.3886,0.6943,0.2821,14.1679,2.148,47.1035,3.9705,88,1,,,,,,,,,,,,,,,,,
Myanmar, MMR,0.1296,10.8663,0.8145,23.4358,1.3514,6.368,1.1107,1.7771,0.722,3.5542,39.1151,3.3321,81,2,,,,,,,,,,,,,,,,,
Namibia, NAM,2.4054,6.5173,0.7607,18.7294,1.1308,2.8577,2.1998,0.2673,7.2368,5.7155,43.4622,5.222,87,1,,,,,,,,,,,,,,,,,
Nepal, NPL,0.1395,3.767,0.6278,30.7115,1.4475,0.872,1.9358,0.1221,2.7206,0.9069,46.2156,4.918,95,1,,,,,,,,,,,,,,,,,
New Caledonia, NCL,1.9087,13.343,1.4361,15.9607,1.6906,6.5261,3.7448,1.7633,1.2543,4.272,36.6661,6.4716,95,NA,,,,,,,,,,,,,,,,,
New Zealand, NZL,1.6474,15.1117,4.562,14.4781,1.6632,6.8747,2.2968,0.8871,1.5524,8.8706,34.8804,3.3581,96,1,,,,,,,,,,,,,,,,,
Nicaragua, NIC,0.6658,6.3344,0.5136,25.0904,1.2174,2.4729,2.6441,0.5707,0.856,7.8181,43.6751,4.1469,71,3,,,,,,,,,,,,,,,,,
Niger, NER,0.0194,3.4122,0.4847,31.0585,0.8337,1.0857,1.6479,3.2571,0.6979,0.6786,46.5878,1.8806,55,3,,,,,,,,,,,,,,,,,
Nigeria, NGA,1.2178,1.6237,0.1421,21.5953,1.441,0.6901,0.2233,1.2381,12.259,1.6034,48.3864,5.3379,88,2,,,,,,,,,,,,,,,,,
North Macedonia, MKD,0.9837,9.4365,2.1841,16.6889,2.1507,2.9843,3.5178,0.8003,1.8673,6.3021,40.5802,6.6022,69,3,,,,,,,,,,,,,,,,,
Norway, NOR,1.7142,15.5904,2.5713,14.0092,1.862,5.6746,5.0392,0.8867,1.4334,4.1673,34.4318,5.9997,81,1,,,,,,,,,,,,,,,,,
Oman, OMN,0.0853,10.0478,0.5629,19.7544,6.8918,3.3095,4.7083,0.3241,0.8188,4.5036,39.9522,4.06,94,1,,,,,,,,,,,,,,,,,
Pakistan, PAK,0,11.474,2.514,23.3348,0.6446,1.5471,6.9618,0.6446,0.7091,5.2213,38.5045,5.2858,89,2,,,,,,,,,,,,,,,,,
Panama, PAN,1.8134,10.7042,2.3063,21.2852,2.3944,3.9613,3.257,0.6514,0.6866,6.1972,39.2958,4.0317,83,2,,,,,,,,,,,,,,,,,
Paraguay, PRY,1.8252,9.3813,1.1863,15.8241,1.1316,4.5811,2.3362,0.8213,7.1181,5.0192,40.6279,6.2968,71,2,,,,,,,,,,,,,,,,,
Peru, PER,1.5529,5.7963,0.1806,21.2893,3.485,2.0224,1.8599,0.7584,6.7895,4.2615,44.2037,3.1239,93,4,,,,,,,,,,,,,,,,,
Philippines, PHL,1.0845,7.7225,1.3837,28.5153,2.6178,4.4503,0.4301,0.5423,1.6268,4.0763,42.2775,2.1503,92,2,,,,,,,,,,,,,,,,,
Poland, POL,2.8507,14.6079,4.1413,16.0545,1.0637,6.3537,3.2194,0.2127,2.6521,6.2544,35.3992,4.5242,77,2,,,,,,,,,,,,,,,,,
Portugal, PRT,3.065,15.4111,3.6379,13.9072,2.3203,5.9439,3.8098,0.1862,1.7617,3.6236,34.5889,6.6457,79,2,,,,,,,,,,,,,,,,,
Republic of Moldova, MDA,2.0672,12.299,1.7958,21.3823,1.1485,3.6542,5.5753,0.0835,1.754,4.6356,37.6905,4.7818,87,2,,,,,,,,,,,,,,,,,
Romania, ROU,2.1141,13.1527,2.1708,17.849,1.7877,3.7741,6.101,0.2128,2.5965,4.0153,36.8473,5.0936,83,2,,,,,,,,,,,,,,,,,
Russian Federation, RUS,2.0381,12.7641,2.1273,16.7361,1.1306,4.8349,4.0167,0.2827,3.0646,6.8432,37.2359,5.3109,80,2,,,,,,,,,,,,,,,,,
Rwanda, RWA,0.858,2.3707,0.1129,9.4378,8.8056,0.9257,0.8806,0.7902,16.5049,1.4224,47.6406,1.6934,87,1,,,,,,,,,,,,,,,,,
Saint Kitts and Nevis, KNA,1.6696,14.2715,1.6498,13.3969,2.2262,7.5929,3.5778,1.2324,1.2522,6.778,35.7185,6.5196,86,NA,,,,,,,,,,,,,,,,,
Saint Lucia, LCA,2.5564,14.6429,1.0526,15.3571,2.0113,8.9286,2.9323,0.8647,1.2406,7.4436,35.3571,2.6692,88,2,,,,,,,,,,,,,,,,,
Samoa, WSM,0.521,13.4454,2,9.6134,3.8992,7.9832,1.4286,9.0924,4.7395,4.1849,36.5378,3.4454,100,NA,,,,,,,,,,,,,,,,,
Sao Tome and Principe, STP,0.7034,3.6409,0.1862,18.5974,8.854,1.6343,0.6206,6.6198,2.379,3.2685,46.3591,4.6752,94,2,,,,,,,,,,,,,,,,,
Saudi Arabia, SAU,0,7.59,0.7825,23.4585,3.2707,3.349,2.6448,0.2347,0.5321,4.6479,42.41,7.2457,97,2,,,,,,,,,,,,,,,,,
Senegal, SEN,0.0766,2.7565,0.1914,30.5896,0.4594,1.2634,0.4786,1.2825,1.1485,3.2351,47.2435,8.2312,94,2,,,,,,,,,,,,,,,,,
Serbia, SRB,2.5678,13.1419,1.1056,20.0428,2.1041,6.2946,4.6541,0.3923,1.2482,5.2247,36.8581,2.6748,11,1,,,,,,,,,,,,,,,,,
Sierra Leone, SLE,0.1021,2.6128,0.0408,27.5362,0.8573,0.6736,0.8777,1.2656,7.0831,1.0206,47.377,6.5932,75,3,,,,,,,,,,,,,,,,,
Slovakia, SVK,2.835,16.5403,7.8007,10.6717,1.2459,4.3698,2.9614,0.5237,1.6974,4.1712,33.4597,10.2022,72,1,,,,,,,,,,,,,,,,,
Slovenia, SVN,2.2372,13.6108,3.5357,18.0069,2.6596,4.5995,4.3492,0.3755,1.5019,3.4731,36.3892,4.6308,78,2,,,,,,,,,,,,,,,,,
South Africa, ZAF,2.2875,7.614,0.2171,25.9977,0.5176,5.1428,1.3692,0.4508,1.0519,5.6938,42.3777,5.2763,87,3,,,,,,,,,,,,,,,,,
Sri Lanka, LKA,0.2105,3.7696,0.0574,26.9805,1.5499,0.6123,1.5308,5.7788,1.3203,5.377,46.2304,1.129,74,0,,,,,,,,,,,,,,,,,
Sudan, SDN,0,7.9737,0.4316,22.8319,2.3839,2.4866,4.7267,1.2125,0.8837,6.3296,42.0263,4.7061,58,6,,,,,,,,,,,,,,,,,
Suriname, SUR,1.4479,6.2001,0.2042,20.8094,2.5617,3.8426,1.1138,1.0581,1.188,7.5924,43.7906,6.8127,97,2,,,,,,,,,,,,,,,,,
Switzerland, CHE,2.3293,15.5435,2.4172,11.7492,1.9338,6.1822,5.7867,0.2783,1.0841,7.8963,34.4711,6.695,78,2,,,,,,,,,,,,,,,,,
Taiwan*, TWN,1.2767,10.9525,1.0415,15.4208,2.083,6.9881,1.1423,1.915,0.4536,4.8715,39.0391,9.4742,82,1,,,,,,,,,,,,,,,,,
Tajikistan, TJK,0.1427,5.1831,0,27.4132,1.5216,2.3776,2.3776,0.4042,1.379,3.8992,44.8407,5.4922,96,1,,,,,,,,,,,,,,,,,
Thailand, THA,2.1401,6.4025,0.336,23.1871,1.8394,3.0775,0.849,1.3265,1.0612,7.729,43.5975,4.0679,93,1,,,,,,,,,,,,,,,,,
Timor-Leste, TLS,0.1169,5.0491,0.3974,32.7256,0.6078,3.9972,0.1169,0.9818,2.4778,2.5245,44.9743,2.9687,97,NA,,,,,,,,,,,,,,,,,
Togo, TGO,0.2882,2.0379,0.1029,23.2812,0.2058,1.1116,0.3088,0.8234,10.5599,2.8201,47.9621,6.2577,87,2,,,,,,,,,,,,,,,,,
Trinidad and Tobago, TTO,0.8874,9.9918,1.3969,18.4224,1.249,4.6343,2.9088,1.0682,1.1997,9.1537,40.0164,4.7658,92,2,,,,,,,,,,,,,,,,,
Tunisia, TUN,0.2452,5.7984,0.6779,23.9579,1.9472,1.6876,2.6107,0.5193,0.8654,5.0483,44.2233,7.0676,76,3,,,,,,,,,,,,,,,,,
Turkey, TUR,0.3107,7.5989,0.9322,19.2938,2.2881,2.1328,3.9266,0.6921,1.2853,4.3644,42.4011,8.7571,88,1,,,,,,,,,,,,,,,,,
Turkmenistan, TKM,0.2263,13.1267,1.7409,27.4025,1.3231,6.4415,4.335,0.1393,1.0097,1.3057,36.8558,3.1337,96,1,,,,,,,,,,,,,,,,,
Uganda, UGA,1.7949,3.8462,0.1865,13.8462,6.6667,1.4918,1.5152,1.7016,8.7413,2.6573,46.1538,4.6154,35,1,,,,,,,,,,,,,,,,,
Ukraine, UKR,1.5319,9.8831,1.2848,20.0791,1.153,3.3767,3.8379,0.0329,3.9697,6.7699,40.1087,4.0521,59,2,,,,,,,,,,,,,,,,,
United Arab Emirates, ARE,0,8.8519,0.9505,20.9268,2.614,3.6834,3.0744,0.9505,0.3862,5.4953,41.1407,3.5051,88,0,,,,,,,,,,,,,,,,,
United Republic of Tanzania, TZA,1.0643,2.7337,0.313,20.409,2.5042,0.9182,1.1895,2.2329,7.5751,2.4207,47.2663,5.3631,36,4,,,,,,,,,,,,,,,,,
United States of America, USA,2.1373,13.6201,1.3009,10.7792,1.7788,6.1065,4.925,0.9027,1.2478,8.0048,36.3733,9.2792,58,2,,,,,,,,,,,,,,,,,
Uruguay, URY,1.3481,12.1808,1.0785,17.732,1.3957,5.2181,4.8374,0.5868,1.586,7.3751,37.8113,5.8208,65,1,,,,,,,,,,,,,,,,,
Uzbekistan, UZB,0.6785,10.7893,0.6123,24.8221,2.2174,3.5247,6.007,0.0993,1.6217,1.7045,39.2189,4.5011,96,1,,,,,,,,,,,,,,,,,
Vanuatu, VUT,0.2668,7.4519,0.667,16.1044,2.287,4.3835,0.8767,10.4822,7.9093,2.4204,42.5386,2.1536,100,NA,,,,,,,,,,,,,,,,,
Venezuela (Bolivarian Republic of), VEN,0.8454,7.2303,0.6007,21.3126,2.3804,3.1368,2.6474,0.0445,1.3571,7.7864,42.7586,7.5417,95,1,,,,,,,,,,,,,,,,,
Vietnam, VNM,0.715,10.9806,0.9363,26.9833,1.8046,7.8311,0.5618,1.8897,0.715,2.094,39.0364,1.3279,90,2,,,,,,,,,,,,,,,,,
Yemen, YEM,0,3.4667,0.3394,32.0727,1.1879,2.0121,0.6545,0.1697,0.3152,7.0303,46.5455,3.9515,66,29,,,,,,,,,,,,,,,,,
Zambia, ZMB,1.1925,3.3043,0.323,31.5528,0.2236,1.5155,0.5217,3.1801,4.0994,2.559,46.7081,3.0062,96,2,,,,,,,,,,,,,,,,,
Zimbabwe, ZWE,1.4269,3.9356,0.6904,29.8044,0.4373,1.7491,1.0817,0.6904,1.2888,5.0403,46.0759,6.2601,83,3,,,,,,,,,,,,,,,,,